Sample Name	Protocol REF	Parameter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Assay Name	Raw Data File	Protocol REF	Derived Data File
sample1	Phenotyping				tdf.txt	assay1020		Data transformation	d_data.txt
sample2	Phenotyping				tdf.txt	assay1		Data transformation	d_data.txt
sample3	Phenotyping				tdf.txt	assay1131		Data transformation	d_data.txt
sample4	Phenotyping				tdf.txt	assay569		Data transformation	d_data.txt
sample5	Phenotyping				tdf.txt	assay293		Data transformation	d_data.txt
sample6	Phenotyping				tdf.txt	assay388		Data transformation	d_data.txt
sample7	Phenotyping				tdf.txt	assay198		Data transformation	d_data.txt
sample8	Phenotyping				tdf.txt	assay844		Data transformation	d_data.txt
sample9	Phenotyping				tdf.txt	assay749		Data transformation	d_data.txt
sample10	Phenotyping				tdf.txt	assay389		Data transformation	d_data.txt
sample11	Phenotyping				tdf.txt	assay2		Data transformation	d_data.txt
sample12	Phenotyping				tdf.txt	assay845		Data transformation	d_data.txt
sample13	Phenotyping				tdf.txt	assay570		Data transformation	d_data.txt
sample14	Phenotyping				tdf.txt	assay846		Data transformation	d_data.txt
sample15	Phenotyping				tdf.txt	assay3		Data transformation	d_data.txt
sample16	Phenotyping				tdf.txt	assay750		Data transformation	d_data.txt
sample17	Phenotyping				tdf.txt	assay294		Data transformation	d_data.txt
sample18	Phenotyping				tdf.txt	assay199		Data transformation	d_data.txt
sample19	Phenotyping				tdf.txt	assay390		Data transformation	d_data.txt
sample20	Phenotyping				tdf.txt	assay1132		Data transformation	d_data.txt
sample21	Phenotyping				tdf.txt	assay571		Data transformation	d_data.txt
sample22	Phenotyping				tdf.txt	assay1021		Data transformation	d_data.txt
sample23	Phenotyping				tdf.txt	assay572		Data transformation	d_data.txt
sample24	Phenotyping				tdf.txt	assay391		Data transformation	d_data.txt
sample25	Phenotyping				tdf.txt	assay4		Data transformation	d_data.txt
sample26	Phenotyping				tdf.txt	assay847		Data transformation	d_data.txt
sample27	Phenotyping				tdf.txt	assay848		Data transformation	d_data.txt
sample28	Phenotyping				tdf.txt	assay392		Data transformation	d_data.txt
sample29	Phenotyping				tdf.txt	assay573		Data transformation	d_data.txt
sample30	Phenotyping				tdf.txt	assay5		Data transformation	d_data.txt
sample31	Phenotyping				tdf.txt	assay574		Data transformation	d_data.txt
sample32	Phenotyping				tdf.txt	assay393		Data transformation	d_data.txt
sample33	Phenotyping				tdf.txt	assay849		Data transformation	d_data.txt
sample34	Phenotyping				tdf.txt	assay6		Data transformation	d_data.txt
sample35	Phenotyping				tdf.txt	assay200		Data transformation	d_data.txt
sample36	Phenotyping				tdf.txt	assay575		Data transformation	d_data.txt
sample37	Phenotyping				tdf.txt	assay850		Data transformation	d_data.txt
sample38	Phenotyping				tdf.txt	assay394		Data transformation	d_data.txt
sample39	Phenotyping				tdf.txt	assay751		Data transformation	d_data.txt
sample40	Phenotyping				tdf.txt	assay295		Data transformation	d_data.txt
sample41	Phenotyping				tdf.txt	assay1022		Data transformation	d_data.txt
sample42	Phenotyping				tdf.txt	assay7		Data transformation	d_data.txt
sample43	Phenotyping				tdf.txt	assay1133		Data transformation	d_data.txt
sample44	Phenotyping				tdf.txt	assay851		Data transformation	d_data.txt
sample45	Phenotyping				tdf.txt	assay8		Data transformation	d_data.txt
sample46	Phenotyping				tdf.txt	assay201		Data transformation	d_data.txt
sample47	Phenotyping				tdf.txt	assay296		Data transformation	d_data.txt
sample48	Phenotyping				tdf.txt	assay1134		Data transformation	d_data.txt
sample49	Phenotyping				tdf.txt	assay395		Data transformation	d_data.txt
sample50	Phenotyping				tdf.txt	assay1023		Data transformation	d_data.txt
sample51	Phenotyping				tdf.txt	assay752		Data transformation	d_data.txt
sample52	Phenotyping				tdf.txt	assay576		Data transformation	d_data.txt
sample53	Phenotyping				tdf.txt	assay396		Data transformation	d_data.txt
sample54	Phenotyping				tdf.txt	assay9		Data transformation	d_data.txt
sample55	Phenotyping				tdf.txt	assay577		Data transformation	d_data.txt
sample56	Phenotyping				tdf.txt	assay852		Data transformation	d_data.txt
sample57	Phenotyping				tdf.txt	assay578		Data transformation	d_data.txt
sample58	Phenotyping				tdf.txt	assay853		Data transformation	d_data.txt
sample59	Phenotyping				tdf.txt	assay397		Data transformation	d_data.txt
sample60	Phenotyping				tdf.txt	assay10		Data transformation	d_data.txt
sample61	Phenotyping				tdf.txt	assay11		Data transformation	d_data.txt
sample62	Phenotyping				tdf.txt	assay854		Data transformation	d_data.txt
sample63	Phenotyping				tdf.txt	assay579		Data transformation	d_data.txt
sample64	Phenotyping				tdf.txt	assay398		Data transformation	d_data.txt
sample65	Phenotyping				tdf.txt	assay580		Data transformation	d_data.txt
sample66	Phenotyping				tdf.txt	assay399		Data transformation	d_data.txt
sample67	Phenotyping				tdf.txt	assay855		Data transformation	d_data.txt
sample68	Phenotyping				tdf.txt	assay12		Data transformation	d_data.txt
sample69	Phenotyping				tdf.txt	assay581		Data transformation	d_data.txt
sample70	Phenotyping				tdf.txt	assay400		Data transformation	d_data.txt
sample71	Phenotyping				tdf.txt	assay297		Data transformation	d_data.txt
sample72	Phenotyping				tdf.txt	assay856		Data transformation	d_data.txt
sample73	Phenotyping				tdf.txt	assay202		Data transformation	d_data.txt
sample74	Phenotyping				tdf.txt	assay1135		Data transformation	d_data.txt
sample75	Phenotyping				tdf.txt	assay13		Data transformation	d_data.txt
sample76	Phenotyping				tdf.txt	assay1024		Data transformation	d_data.txt
sample77	Phenotyping				tdf.txt	assay14		Data transformation	d_data.txt
sample78	Phenotyping				tdf.txt	assay1025		Data transformation	d_data.txt
sample79	Phenotyping				tdf.txt	assay401		Data transformation	d_data.txt
sample80	Phenotyping				tdf.txt	assay754		Data transformation	d_data.txt
sample81	Phenotyping				tdf.txt	assay857		Data transformation	d_data.txt
sample82	Phenotyping				tdf.txt	assay203		Data transformation	d_data.txt
sample83	Phenotyping				tdf.txt	assay582		Data transformation	d_data.txt
sample84	Phenotyping				tdf.txt	assay298		Data transformation	d_data.txt
sample85	Phenotyping				tdf.txt	assay1136		Data transformation	d_data.txt
sample86	Phenotyping				tdf.txt	assay204		Data transformation	d_data.txt
sample87	Phenotyping				tdf.txt	assay583		Data transformation	d_data.txt
sample88	Phenotyping				tdf.txt	assay1026		Data transformation	d_data.txt
sample89	Phenotyping				tdf.txt	assay1137		Data transformation	d_data.txt
sample90	Phenotyping				tdf.txt	assay15		Data transformation	d_data.txt
sample91	Phenotyping				tdf.txt	assay299		Data transformation	d_data.txt
sample92	Phenotyping				tdf.txt	assay755		Data transformation	d_data.txt
sample93	Phenotyping				tdf.txt	assay402		Data transformation	d_data.txt
sample94	Phenotyping				tdf.txt	assay858		Data transformation	d_data.txt
sample95	Phenotyping				tdf.txt	assay1138		Data transformation	d_data.txt
sample96	Phenotyping				tdf.txt	assay584		Data transformation	d_data.txt
sample97	Phenotyping				tdf.txt	assay403		Data transformation	d_data.txt
sample98	Phenotyping				tdf.txt	assay756		Data transformation	d_data.txt
sample99	Phenotyping				tdf.txt	assay300		Data transformation	d_data.txt
sample100	Phenotyping				tdf.txt	assay859		Data transformation	d_data.txt
sample101	Phenotyping				tdf.txt	assay16		Data transformation	d_data.txt
sample102	Phenotyping				tdf.txt	assay205		Data transformation	d_data.txt
sample103	Phenotyping				tdf.txt	assay757		Data transformation	d_data.txt
sample104	Phenotyping				tdf.txt	assay206		Data transformation	d_data.txt
sample105	Phenotyping				tdf.txt	assay1027		Data transformation	d_data.txt
sample106	Phenotyping				tdf.txt	assay585		Data transformation	d_data.txt
sample107	Phenotyping				tdf.txt	assay17		Data transformation	d_data.txt
sample108	Phenotyping				tdf.txt	assay404		Data transformation	d_data.txt
sample109	Phenotyping				tdf.txt	assay860		Data transformation	d_data.txt
sample110	Phenotyping				tdf.txt	assay301		Data transformation	d_data.txt
sample111	Phenotyping				tdf.txt	assay1028		Data transformation	d_data.txt
sample112	Phenotyping				tdf.txt	assay302		Data transformation	d_data.txt
sample113	Phenotyping				tdf.txt	assay405		Data transformation	d_data.txt
sample114	Phenotyping				tdf.txt	assay207		Data transformation	d_data.txt
sample115	Phenotyping				tdf.txt	assay861		Data transformation	d_data.txt
sample116	Phenotyping				tdf.txt	assay758		Data transformation	d_data.txt
sample117	Phenotyping				tdf.txt	assay1139		Data transformation	d_data.txt
sample118	Phenotyping				tdf.txt	assay586		Data transformation	d_data.txt
sample119	Phenotyping				tdf.txt	assay18		Data transformation	d_data.txt
sample120	Phenotyping				tdf.txt	assay208		Data transformation	d_data.txt
sample121	Phenotyping				tdf.txt	assay303		Data transformation	d_data.txt
sample122	Phenotyping				tdf.txt	assay862		Data transformation	d_data.txt
sample123	Phenotyping				tdf.txt	assay759		Data transformation	d_data.txt
sample124	Phenotyping				tdf.txt	assay587		Data transformation	d_data.txt
sample125	Phenotyping				tdf.txt	assay1140		Data transformation	d_data.txt
sample126	Phenotyping				tdf.txt	assay19		Data transformation	d_data.txt
sample127	Phenotyping				tdf.txt	assay1029		Data transformation	d_data.txt
sample128	Phenotyping				tdf.txt	assay406		Data transformation	d_data.txt
sample129	Phenotyping				tdf.txt	assay1030		Data transformation	d_data.txt
sample130	Phenotyping				tdf.txt	assay863		Data transformation	d_data.txt
sample131	Phenotyping				tdf.txt	assay407		Data transformation	d_data.txt
sample132	Phenotyping				tdf.txt	assay20		Data transformation	d_data.txt
sample133	Phenotyping				tdf.txt	assay588		Data transformation	d_data.txt
sample134	Phenotyping				tdf.txt	assay304		Data transformation	d_data.txt
sample135	Phenotyping				tdf.txt	assay1141		Data transformation	d_data.txt
sample136	Phenotyping				tdf.txt	assay760		Data transformation	d_data.txt
sample137	Phenotyping				tdf.txt	assay209		Data transformation	d_data.txt
sample138	Phenotyping				tdf.txt	assay408		Data transformation	d_data.txt
sample139	Phenotyping				tdf.txt	assay210		Data transformation	d_data.txt
sample140	Phenotyping				tdf.txt	assay305		Data transformation	d_data.txt
sample141	Phenotyping				tdf.txt	assay864		Data transformation	d_data.txt
sample142	Phenotyping				tdf.txt	assay21		Data transformation	d_data.txt
sample143	Phenotyping				tdf.txt	assay589		Data transformation	d_data.txt
sample144	Phenotyping				tdf.txt	assay1031		Data transformation	d_data.txt
sample145	Phenotyping				tdf.txt	assay1142		Data transformation	d_data.txt
sample146	Phenotyping				tdf.txt	assay761		Data transformation	d_data.txt
sample147	Phenotyping				tdf.txt	assay211		Data transformation	d_data.txt
sample148	Phenotyping				tdf.txt	assay306		Data transformation	d_data.txt
sample149	Phenotyping				tdf.txt	assay22		Data transformation	d_data.txt
sample150	Phenotyping				tdf.txt	assay1032		Data transformation	d_data.txt
sample151	Phenotyping				tdf.txt	assay762		Data transformation	d_data.txt
sample152	Phenotyping				tdf.txt	assay865		Data transformation	d_data.txt
sample153	Phenotyping				tdf.txt	assay590		Data transformation	d_data.txt
sample154	Phenotyping				tdf.txt	assay409		Data transformation	d_data.txt
sample155	Phenotyping				tdf.txt	assay1143		Data transformation	d_data.txt
