Assay Name	LD	LDV	SD	SDV	FT10	FT16	FT22	Seed Dormancy	Emco5	Emwa1	Emoy*	Hiks1	Noco2	Li7	B11	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe56	Co59	Ni60	Cu65	Zn66	As75	Se82	Mo98	Cd114	avrPphB	avrRpm1	avrRpt2	avrB	0W	2W	4W	8W	FLC	FRI	8W GH FT	8W GH LN	0W GH FT	0W GH LN	FT Field	FT Diameter Field	FT GH	FT Duration GH	LC Duration GH	LFS GH	MT GH	RP GH	At1	At1 CFU2	As	As CFU2	Bs	Bs CFU2	At2	At2 CFU2	As2	As2 CFU2	FW 	DW 	LES	YEL 	LY 	LN10	LN16	LN22	Silique 16	Silique 22	Germ 10	Germ 16	Germ 22	Width 10	Width 16	Width 22	Chlorosis 10	Chlorosis 16	Chlorosis 22	Anthocyanin 10	Anthocyanin 16	Anthocyanin 22	Leaf serr 10	Leaf serr 16	Leaf serr 22	Leaf roll 10	Leaf roll 16	Leaf roll 22	Rosette Erect 22	Hypocotyl length	Trichome avg C	Trichome avg JA	Aphid number	Bacterial titer	Seedling Growth	Vern Growth	After Vern Growth	Secondary Dormancy	Germ in dark	DSDS50	Seed bank 133-91	Storage 7 days	Storage 28 days	Storage 56 days
assay152	6.84105	32.6	93.0417	4.97494	74	87	89																																																														51	53	64			7	3	3	2.2	8	9.5	0	1	1	0	1	0	0.5	0.5	0.75	0	0	0	1															
assay279																																																																0.4508	0.0305	0	0	0																																							
assay211																																																																0.9221	0.0655	0	0	0																																							
assay256																																																																0.8527	0.0577	1	0	1																																							
assay907																																0	1	1	1																			0.833	5.275	2.167	5.061	3.5	4.631	1.667	5.282	1	5.207																															50.7	58.5	40	15.8										
assay948																																1	1	0	1																			0.667	4.431	1.8	4.065	8.333	3.688	1	5.347	0.8	5.462																															27.3	51.8	66.3	13.8										
assay619																																														165.273	35.6868	25.1234	21.586	64.0821	46.7273	17.9245	39.3026																																																						
assay96					71	50.25	46																																																																																																				
assay432																																				27.8	22.2	21.2	18.7	0.111	0.3406	29	14.2	27.7	9																																																														
assay436																																				26.5	19.6	20.3	19	0.185	1.1142	25.6	13.7	23.8	10.7																																																														
assay1094																																																																																																		0.00874844	0.00845758	0.204754	0.736349	46.0453	40.5351	0	0	13.8636	91.9439
assay786														7.47188	90.5571	1168.21	12748.8	8637.58	8418.91	28851.9	26287.3	106.183	63.9762	1.88752	2.73913	0.692453	63.4587	0.183406	5.35802	0.772302	3.57353																																																																												
assay547																																				52.8	30.2		18.2			25.6	14.7	50.9	69.5																																																														
assay488																																				48.9	26.4	22.5	18.9	1.111	3.6373	28.1	16.4	32	18.2																																																														
assay334									1	1	1	1	1																																																																																														
assay151	28.1667	6.2026	5.09859	7.27438	49	41	29																																																														15	14	11			7	4	2	2	6.6	8.2	0	1	1	0	1	1	1.5	1.5	1.5	0	0	0	0															
assay275																																																																0.462	0.0379	1	0	1																																							
assay599																																														183.293	31.6753	167.759																																																											
assay408																																				44	23.2	18.1	13.5	1.264	1.3541	23.5	12.5	32.2	20.2																																																														
assay932																																																						2.333	4.645	2.5	4.2	4	5.589	1.5	5.265	3.167	3.904																																												
assay420																																				42.3	25.6	21.5	17.6	0.7	0.396	25.3	16.5	31	19.9																																																														
assay274																																																																1.2444	0.0848	0	0	0																																							
assay1066																																																																																																		0.00723033	0.00387895	0.111549	1.28066	41.196	34.9419	0	5.8175	32.5	97.5
assay904																																1	1	1	1																			1.833	5.563	0.8	4.554	5	5.204	0.2	3.996	0	4.816																															30.3	36.5	18	16.9										
assay267																																																																1.0433	0.0678	0	0	0																																							
assay1030																																																																																																		0.00940748	0.0022428	0.0988164	0.879132	65.7616	3.51786	0	99.5	100	100
assay927																																1	0	0	0																			1.167	4.961	0.5	4.895	7.667	4.103	0.833	4.83	0.333	4.579																															25	26	57.5	12.2										
assay645																																														154.921	31.1251	57.5152	30.505	99.605	88.0881	10.9393	41.7918																																																						
assay14	6.64024	20.4	4.63381	4.94694	41	26	25	1																																																													12	9	9	1.5	0.9	5	3	2	4.2	5	4.4	0	0	0	0	0	0	0.5	0	0	1	0	0	0															
assay572																																														180.088	21.4814	125.997																																																											
assay1184																																																																																													0.39														
assay217																																																																0.6346	0.0389	0	1	1																																							
assay498																																				125	21.2		18.5	2.941	2.489	35.2	20.5	200																																																															
assay446																																				28.2	19.4	19.7	16.2	3.397	0.4204	25.5	12.9	25.1	10.1																																																														
assay1187																																																																																													0.5														
assay126	37.6806	25.8333	6.92889	45.8333	51	48	42	21																																																													15	29	22	1.6	1.2	7	4	3	3.5	7.5	10.5	0	1	0	1	0	0	0.5	1	1	1	0	0	1															
assay269																																																																0.3987	0.0347	0	0	0																																							
assay147	13.8293	22.3333	106.542	37.4	46	68	108																																																														17	42	82			7	3	2	2.6	7.8	10.6	1	1	1	1	0	0	0.5	1	1	0	0	0	1															
assay161	72.0417	2.31517	0	100.167	96	49	250																																																														50	34	230			5	3	2	2.8	6.2	8.5	1	1	1	1	0	0	1	0.75	0.75	0	0	0	1															
assay931																																																						4.167	6.307	3.333	3.354	7.833	5.516	1.167	5.861	3.333	6.342																																												
assay991																																																						1.667	4.314	1.667	3.859	5.167	4.676	0	4.284	0.667	4.566																																												
assay361									0	1	1	1	1																																																																																														
assay804														6.12275	83.7117	529.044	12143.3	7294.04	9898.86	27653.1	26908.3	118.78	60.7481	1.6636	3.83342	1.25946	77.648	0.183214	6.70706	2.49041	5.32958																																																																												
assay834														7.14112	84.9821	916.191	14068.2	7868.13	9493.19	31714.9	29127.2	121.675	65.5412	0.792676	1.32314	0.962472	62.0633	0.232191	5.34789	3.22599	2.31668																																																																												
assay1028																																																																																																		0.00736033	0.00449879	0.124493	1.97516	8.58e-15	40.4731	0	5.31	32.6437	74.75
assay731																																														167.487	43.4959	30.2733	21.1911	68.5655	51.6034	17.0633	38.2591																																																						
assay286																																																																1.0361	0.0703	0	0	0																																							
assay124	52.0417	29.1667	0	6.49923	53	60	87	8																																																													17	54	31	1.6	1.1	5	3	2	3.5	8	10.7	0	0	1	0	0	0	0.5	0.5	1	1	1	0	1															
assay210																																																																0.2863	0.0186	0	0	0																																							
assay371									1	1	1	1	1																																																																																														
assay174	33.6667	25	9.52338	46	62	45	26																																																														21	31	19			5	3	2	2.4	9.5	13.7	0	0	0	0	0	0	0.75	1	1	1	1	0	0															
assay458																																				77	26.4	21.3	18.8	3.633	1.2371	25.9	10.6	44.3	33.6																																																														
assay675																																														126.735	29.8788	24.4698	16.3999	57.4318	40.6584	16.8958	32.3076																																																						
assay1000																																																						3.333	6.548	0.833	5.202	7.833	5.754	1.5	5.461	5.167	3.093																																												
assay581																																														167.626	20.8338	50.0923	34.1135	97.2416	84.3481	12.6199	47.049																																																						
assay282																																																																0.8293	0.0675	0	0	0																																							
assay956																																																						2.5	2.763	2	4.988	1.667	5.114	0.833	5.053	1.833	4.975																																												
assay938																																0	0	1	0																			2.167	5.063	1.667	5.476	7.167	3.41	0.5	3.769	1.5	4.148																															29	42.5	52	11.3										
