Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Sample Name	Characteristics[Experimental unit type]
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample1	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample2	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample3	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample4	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample5	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample6	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample7	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample8	
source1	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-1	GMI	GMI:5837		Growth							sample9	
source2	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Duk	GMI	GMI:6008		Growth							sample10	
source2	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Duk	GMI	GMI:6008		Growth							sample11	
source2	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Duk	GMI	GMI:6008		Growth							sample12	
source2	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Duk	GMI	GMI:6008		Growth							sample13	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample14	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample15	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample16	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample17	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample18	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample19	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample20	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample21	
source3	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eden-1	GMI	GMI:6009		Growth							sample22	
source4	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eds-1	GMI	GMI:6016		Growth							sample23	
source4	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eds-1	GMI	GMI:6016		Growth							sample24	
source4	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eds-1	GMI	GMI:6016		Growth							sample25	
source4	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Eds-1	GMI	GMI:6016		Growth							sample26	
source5	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Kni-1	GMI	GMI:6040		Growth							sample27	
source5	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Kni-1	GMI	GMI:6040		Growth							sample28	
source5	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Kni-1	GMI	GMI:6040		Growth							sample29	
source5	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Kni-1	GMI	GMI:6040		Growth							sample30	
source6	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Lom1-1	GMI	GMI:6042		Growth							sample31	
source6	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Lom1-1	GMI	GMI:6042		Growth							sample32	
source6	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Lom1-1	GMI	GMI:6042		Growth							sample33	
source6	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Lom1-1	GMI	GMI:6042		Growth							sample34	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample35	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample36	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample37	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample38	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample39	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample40	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample41	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample42	
source7	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-1	GMI	GMI:6043		Growth							sample43	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample44	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample45	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample46	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample47	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample48	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample49	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample50	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample51	
source8	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Löv-5	GMI	GMI:6046		Growth							sample52	
source9	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Nyl-2	GMI	GMI:6064		Growth							sample53	
source9	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Nyl-2	GMI	GMI:6064		Growth							sample54	
source9	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Nyl-2	GMI	GMI:6064		Growth							sample55	
source9	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Nyl-2	GMI	GMI:6064		Growth							sample56	
source10	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ör-1	GMI	GMI:6074		Growth							sample57	
source10	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ör-1	GMI	GMI:6074		Growth							sample58	
source10	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ör-1	GMI	GMI:6074		Growth							sample59	
source10	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ör-1	GMI	GMI:6074		Growth							sample60	
source11	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Tottarp-2	GMI	GMI:6243		Growth							sample61	
source11	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Tottarp-2	GMI	GMI:6243		Growth							sample62	
source11	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Tottarp-2	GMI	GMI:6243		Growth							sample63	
source11	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Tottarp-2	GMI	GMI:6243		Growth							sample64	
source12	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bg-2	GMI	GMI:6709		Growth							sample65	
source12	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bg-2	GMI	GMI:6709		Growth							sample66	
source12	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bg-2	GMI	GMI:6709		Growth							sample67	
source12	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bg-2	GMI	GMI:6709		Growth							sample68	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample69	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample70	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample71	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample72	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample73	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample74	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample75	
source13	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Ag-0	GMI	GMI:6897		Growth							sample76	
source14	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	An-1	GMI	GMI:6898		Growth							sample77	
source14	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	An-1	GMI	GMI:6898		Growth							sample78	
source14	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	An-1	GMI	GMI:6898		Growth							sample79	
source14	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	An-1	GMI	GMI:6898		Growth							sample80	
source14	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	An-1	GMI	GMI:6898		Growth							sample81	
