Variable ID	Trait	Term Source REF	Term Accession Number	Method	Term Source REF	Term Accession Number	Scale	Term Source REF	Term Accession Number
LD	LD	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200			days	UO	http://purl.obolibrary.org/obo/UO_00000http://purl.obolibrary.org/obo/UO_0000033
LDV	LDV	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days to flowering under long days after 4 weeks vernalization.  Seeds were stratified, and days we counted from the end of stratification. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200			days	UO	http://purl.obolibrary.org/obo/UO_0000033
SD	SD	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200			days	UO	http://purl.obolibrary.org/obo/UO_0000033
SDV	SDV	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FT10	FT10	TO	http://purl.obolibrary.org/obo/TO_0000344	Plants were checked bi-weekly for presence of first buds, and the average flowering time of 4 plants of the same accession were collected			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FT16	FT16	TO	http://purl.obolibrary.org/obo/TO_0000344	Plants were checked bi-weekly for presence of first buds, and the average flowering time of 4 plants of the same accession were collected			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FT22	FT22	TO	http://purl.obolibrary.org/obo/TO_0000344	Plants were checked bi-weekly for presence of first buds, and the average flowering time of 4 plants of the same accession were collected			days	UO	http://purl.obolibrary.org/obo/UO_0000033
Seed Dormancy	Seed Dormancy	TO	http://purl.obolibrary.org/obo/TO_0000253	Number of days of seed dry storage required to reach 50&#37 germination, or DSDS50 value (Alonso-Blanco et al., 2003). The measurement for each genotype was calculated as the average value across all available replicates			days	UO	http://purl.obolibrary.org/obo/UO_0000033
Emco5	Emco5	TO	http://purl.obolibrary.org/obo/TO_0000315	All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications			binary		
Emwa1	Emwa1	TO	http://purl.obolibrary.org/obo/TO_0000315	All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications			binary		
Emoy*	Emoy*	TO	http://purl.obolibrary.org/obo/TO_0000315	All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications			binary		
Hiks1	Hiks1	TO	http://purl.obolibrary.org/obo/TO_0000315	All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications			binary		
Noco2	Noco2	TO	http://purl.obolibrary.org/obo/TO_0000315	All interactions were scored specifically on first true leaves as compatible, incompatible or intermediate depending on the consistency of presence / absence of sporangiophores determined on 5-10 seedlings of each genotype with three independent replications			binary		
Li7	Li7	TO	http://purl.obolibrary.org/obo/TO_0006042	Lithium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
B11	B11	TO	http://purl.obolibrary.org/obo/TO_0006043	Boron concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Na23	Na23	TO	http://purl.obolibrary.org/obo/TO_0000526	Sodium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Mg25	Mg25	TO	http://purl.obolibrary.org/obo/TO_0006044	Magnesium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
P31	P31	TO	http://purl.obolibrary.org/obo/TO_0006045	Phosphorus concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
S34	S34	TO	http://purl.obolibrary.org/obo/TO_0006046	Sulfur concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
K39	K39	TO	http://purl.obolibrary.org/obo/TO_0000513	Potassium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Ca43	Ca43	TO	http://purl.obolibrary.org/obo/TO_0006047	Calcium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Mn55	Mn55	TO	http://purl.obolibrary.org/obo/TO_0006048	Manganese concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Fe56	Fe56	TO	http://purl.obolibrary.org/obo/TO_0006049	Iron concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Co59	Co59	TO	http://purl.obolibrary.org/obo/TO_0006050	Cobalt concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Ni60	Ni60	TO	http://purl.obolibrary.org/obo/TO_0006051	Nickel concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Cu65	Cu65	TO	http://purl.obolibrary.org/obo/TO_0006052	Copper concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Zn66	Zn66	TO	http://purl.obolibrary.org/obo/TO_0006053	Zinc concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
As75	As75	TO	http://purl.obolibrary.org/obo/TO_0006054	Arsenic concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Se82	Se82	TO	http://purl.obolibrary.org/obo/TO_0006055	Selenium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Mo98	Mo98	TO	http://purl.obolibrary.org/obo/TO_0006056	Molybdenum concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
Cd114	Cd114	TO	http://purl.obolibrary.org/obo/TO_0006059	Cadmium concentrations in leaves, grown in soil. Elemental analysis was performed with an ICP-MS (PerkinElmer). Sample normalized to calculated weights as described in Baxter et al., 2008					
avrPphB	avrPphB	TO	http://purl.obolibrary.org/obo/TO_0000315	Following inoculation of two leaves per plant with 0.1 ml of 10 -8 cfu/ml bacteria in 10 mM MgSO4 buffer using a blunt-tipped syringe, leaf collapse was scored at 20 hrs and again at 24 hrs after inoculation. A positive score at either time point was deemed a hypersensitive response			binary		
avrRpm1	avrRpm1	TO	http://purl.obolibrary.org/obo/TO_0000315	Following inoculation of two leaves per plant with 0.1 ml of 10 -8 cfu/ml bacteria in 10 mM MgSO4 buffer using a blunt-tipped syringe, leaf collapse was scored at 20 hrs and again at 24 hrs after inoculation. A positive score at either time point was deemed a hypersensitive response			binary		
avrRpt2	avrRpt2	TO	http://purl.obolibrary.org/obo/TO_0000315	Following inoculation of two leaves per plant with 0.1 ml of 10 -8 cfu/ml bacteria in 10 mM MgSO4 buffer using a blunt-tipped syringe, leaf collapse was scored at 20 hrs and again at 24 hrs after inoculation. A positive score at either time point was deemed a hypersensitive response			binary		
avrB	avrB	TO	http://purl.obolibrary.org/obo/TO_0000315	Following inoculation of two leaves per plant with 0.1 ml of 10 -8 cfu/ml bacteria in 10 mM MgSO4 buffer using a blunt-tipped syringe, leaf collapse was scored at 20 hrs and again at 24 hrs after inoculation. A positive score at either time point was deemed a hypersensitive response			binary		
0W	0W	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days required for the bolt height to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
2W	2W	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days required for the bolt height to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
4W	4W	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days required for the bolt height to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
8W	8W	TO	http://purl.obolibrary.org/obo/TO_0000344	Number of days required for the bolt height to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FLC	FLC	TO	http://purl.obolibrary.org/obo/TO_0002616	"RNA was extracted from leaves after 4 wks of growth. FLC gene expression levels were determined by Northern hybridization quantified relative to $Beta;-TUBULIN expression"					
FRI	FRI	TO	http://purl.obolibrary.org/obo/TO_0002616	"RNA was extracted from leaves after 4 wks of growth. FRI gene expression levels were determined by Northern hybridization quantified relative to $Beta;-TUBULIN expression"					
8W GH FT	8W GH FT	TO	http://purl.obolibrary.org/obo/TO_0000344	Flowering time was scored as the number of days for the bolt to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
8W GH LN	8W GH LN	TO	http://purl.obolibrary.org/obo/TO_0000241	Leaf number was scored as the number of rosette leaves and the number of cauline leaves when the bolt reached 5cm			count		
0W GH FT	0W GH FT	TO	http://purl.obolibrary.org/obo/TO_0000344	Flowering time was scored as the number of days for the bolt to reach 5cm			days	UO	http://purl.obolibrary.org/obo/UO_0000033
0W GH LN	0W GH LN	TO	http://purl.obolibrary.org/obo/TO_0000241	Leaf number was scored as the number of rosette leaves and the number of cauline leaves when the bolt reached 5cm					
FT Field	FT Field	TO	http://purl.obolibrary.org/obo/TO_0000344	Flowering time was scored as the number of days between germination date and appearance of the first flower			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FT Diameter Field	FT Diameter Field	TO	http://purl.obolibrary.org/obo/TO_0000241	Longest diameter of the plant measured on the day the first flower was observed					
FT GH	FT GH	TO	http://purl.obolibrary.org/obo/TO_0000344	Flowering time was scored as the number of days between germination date and appearance of the first flower			days	UO	http://purl.obolibrary.org/obo/UO_0000033
FT Duration GH	FT Duration GH	TO	http://purl.obolibrary.org/obo/TO_0000366	Number of days between appearance of the first flower and the senescence of the last flower			days	UO	http://purl.obolibrary.org/obo/UO_0000033
LC Duration GH	LC Duration GH	TO	http://purl.obolibrary.org/obo/TO_0000366	Number of days between germination and plant complete senescence			binary		
LFS GH	LFS GH	TO	http://purl.obolibrary.org/obo/TO_0000366	Number of days between germination and senescence of the last flower					
MT GH	MT GH	TO	http://purl.obolibrary.org/obo/TO_0000366	Number of days between last flower senescence and complete plant senescence					
