Sample Name	Protocol REF	Parameter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Assay Name	Raw Data File	Protocol REF	Derived Data File
Sample1	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay1	NA	Data transformation	d_polapgen_field2012.txt
Sample2	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay2	NA	Data transformation	d_polapgen_field2012.txt
Sample3	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay3	NA	Data transformation	d_polapgen_field2012.txt
Sample4	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay4	NA	Data transformation	d_polapgen_field2012.txt
Sample5	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay5	NA	Data transformation	d_polapgen_field2012.txt
Sample6	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay6	NA	Data transformation	d_polapgen_field2012.txt
Sample7	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay7	NA	Data transformation	d_polapgen_field2012.txt
Sample8	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay8	NA	Data transformation	d_polapgen_field2012.txt
Sample9	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay9	NA	Data transformation	d_polapgen_field2012.txt
Sample10	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay10	NA	Data transformation	d_polapgen_field2012.txt
Sample11	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay11	NA	Data transformation	d_polapgen_field2012.txt
Sample12	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay12	NA	Data transformation	d_polapgen_field2012.txt
Sample13	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay13	NA	Data transformation	d_polapgen_field2012.txt
Sample14	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay14	NA	Data transformation	d_polapgen_field2012.txt
Sample15	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay15	NA	Data transformation	d_polapgen_field2012.txt
Sample16	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay16	NA	Data transformation	d_polapgen_field2012.txt
Sample17	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay17	NA	Data transformation	d_polapgen_field2012.txt
Sample18	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay18	NA	Data transformation	d_polapgen_field2012.txt
Sample19	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay19	NA	Data transformation	d_polapgen_field2012.txt
Sample20	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay20	NA	Data transformation	d_polapgen_field2012.txt
Sample21	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay21	NA	Data transformation	d_polapgen_field2012.txt
Sample22	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay22	NA	Data transformation	d_polapgen_field2012.txt
Sample23	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay23	NA	Data transformation	d_polapgen_field2012.txt
Sample24	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay24	NA	Data transformation	d_polapgen_field2012.txt
Sample25	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay25	NA	Data transformation	d_polapgen_field2012.txt
Sample26	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay26	NA	Data transformation	d_polapgen_field2012.txt
Sample27	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay27	NA	Data transformation	d_polapgen_field2012.txt
Sample28	Phenotyping	whole plant	PO	http://purl.obolibrary.org/obo/PO_0000003	tdf_polapgen_field.txt	Assay28	NA	Data transformation	d_polapgen_field2012.txt
