Sample Name	Characteristics[Organism part]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Trait Definition File]	Derived Data File
Sample1	whole plant	PO	3	Assay1	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample2	whole plant	PO	3	Assay2	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample3	whole plant	PO	3	Assay3	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample4	whole plant	PO	3	Assay4	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample5	whole plant	PO	3	Assay5	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample6	whole plant	PO	3	Assay6	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample7	whole plant	PO	3	Assay7	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample8	whole plant	PO	3	Assay8	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample9	whole plant	PO	3	Assay9	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample10	whole plant	PO	3	Assay10	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample11	whole plant	PO	3	Assay11	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample12	whole plant	PO	3	Assay12	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample13	whole plant	PO	3	Assay13	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample14	whole plant	PO	3	Assay14	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample15	whole plant	PO	3	Assay15	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample16	whole plant	PO	3	Assay16	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample17	whole plant	PO	3	Assay17	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample18	whole plant	PO	3	Assay18	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample19	whole plant	PO	3	Assay19	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample20	whole plant	PO	3	Assay20	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample21	whole plant	PO	3	Assay21	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample22	whole plant	PO	3	Assay22	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample23	whole plant	PO	3	Assay23	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample24	whole plant	PO	3	Assay24	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample25	whole plant	PO	3	Assay25	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample26	whole plant	PO	3	Assay26	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample27	whole plant	PO	3	Assay27	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample28	whole plant	PO	3	Assay28	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample29	whole plant	PO	3	Assay29	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample30	whole plant	PO	3	Assay30	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample31	whole plant	PO	3	Assay31	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample32	whole plant	PO	3	Assay32	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample33	whole plant	PO	3	Assay33	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample34	whole plant	PO	3	Assay34	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample35	whole plant	PO	3	Assay35	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample36	whole plant	PO	3	Assay36	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample37	whole plant	PO	3	Assay37	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample38	whole plant	PO	3	Assay38	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample39	whole plant	PO	3	Assay39	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample40	whole plant	PO	3	Assay40	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample41	whole plant	PO	3	Assay41	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample42	whole plant	PO	3	Assay42	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample43	whole plant	PO	3	Assay43	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample44	whole plant	PO	3	Assay44	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample45	whole plant	PO	3	Assay45	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample46	whole plant	PO	3	Assay46	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample47	whole plant	PO	3	Assay47	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample48	whole plant	PO	3	Assay48	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample49	whole plant	PO	3	Assay49	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample50	whole plant	PO	3	Assay50	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample51	whole plant	PO	3	Assay51	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample52	whole plant	PO	3	Assay52	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample53	whole plant	PO	3	Assay53	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample54	whole plant	PO	3	Assay54	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample55	whole plant	PO	3	Assay55	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample56	whole plant	PO	3	Assay56	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample57	whole plant	PO	3	Assay57	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample58	whole plant	PO	3	Assay58	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample59	whole plant	PO	3	Assay59	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample60	whole plant	PO	3	Assay60	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample61	whole plant	PO	3	Assay61	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample62	whole plant	PO	3	Assay62	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample63	whole plant	PO	3	Assay63	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample64	whole plant	PO	3	Assay64	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample65	whole plant	PO	3	Assay65	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample66	whole plant	PO	3	Assay66	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample67	whole plant	PO	3	Assay67	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample68	whole plant	PO	3	Assay68	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample69	whole plant	PO	3	Assay69	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample70	whole plant	PO	3	Assay70	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample71	whole plant	PO	3	Assay71	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample72	whole plant	PO	3	Assay72	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample73	whole plant	PO	3	Assay73	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample74	whole plant	PO	3	Assay74	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample75	whole plant	PO	3	Assay75	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample76	whole plant	PO	3	Assay76	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample77	whole plant	PO	3	Assay77	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample78	whole plant	PO	3	Assay78	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample79	whole plant	PO	3	Assay79	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample80	whole plant	PO	3	Assay80	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample81	whole plant	PO	3	Assay81	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample82	whole plant	PO	3	Assay82	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample83	whole plant	PO	3	Assay83	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample84	whole plant	PO	3	Assay84	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample85	whole plant	PO	3	Assay85	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample86	whole plant	PO	3	Assay86	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample87	whole plant	PO	3	Assay87	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample88	whole plant	PO	3	Assay88	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample89	whole plant	PO	3	Assay89	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample90	whole plant	PO	3	Assay90	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample91	whole plant	PO	3	Assay91	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample92	whole plant	PO	3	Assay92	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample93	whole plant	PO	3	Assay93	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample94	whole plant	PO	3	Assay94	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
Sample95	whole plant	PO	3	Assay95	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2013.txt
