Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation					
Assay1	59,07	665	0,96	45	8	50	16,2	29	6,27	271,6					
Assay2	48,91	875	0,86	45	7,6	60	17,5	29	6,27	271,6					
Assay3	56,21	745	1,1	44	7,5	60	19,5	29	6,27	271,6					
Assay4	50,57	780	0,89	48	7	50	17,6	29	6,27	271,6					
Assay5	53,38	770	0,82	49	7,1	57	15,4	29	6,27	271,6					
Assay6	49,41	700	0,58	48	5,6	35	11,8	29	6,27	271,6					
Assay7	58,62	760	1,06	45	7,7	74	18,1	29	6,27	271,6					
Assay8	60,63	615	1,06	45	7,7	62	17,5	28	6,27	271,6					
Assay9	55,3	670	0,74	45	6,4	53	13,4	28	6,27	271,6					
Assay10	56,85	1020	1,05	46	7,4	62	18,4	27	6,27	271,6					
Assay11	56,78	930	1,18	46	8,3	62	20,8	27	6,27	271,6					
Assay12	55,36	780	0,99	46	7,2	70	17,9	27	6,27	271,6					
Assay13	52,99	890	0,89	48	6,8	58	16,7	29	6,27	271,6					
Assay14	54,01	870	0,88	48	6,9	48	16,2	29	6,27	271,6					
Assay15	52,54	715	0,97	48	7,8	60	18,5	29	6,27	271,6					
Assay16	58,77	580	0,72	46	6	47	12,2	29	6,27	271,6					
Assay17	63,41	695	0,8	46	6,6	56	12,6	28	6,27	271,6					
Assay18	56,72	595	0,71	46	5,8	50	12,5	28	6,27	271,6					
Assay19	50,14	915	0,73	49	7,6	55	14,6	27	6,27	271,6					
Assay20	51,23	950	0,84	49	7,5	55	16,3	27	6,27	271,6					
Assay21	54,72	940	0,89	49	7,3	45	16,3	27	6,27	271,6					
Assay22	55,66	850	1,05	46	8,1	58	18,9	31	6,27	271,6					
Assay23	50,38	800	0,67	46	6,1	60	13,3	31	6,27	271,6					
Assay24	34,97	650	0,68	46	5,1	50	19,3	31	6,27	271,6					
Assay25	53,26	860	0,93	46	7,5	47	17,5	31	6,27	271,6					
Assay26	45,86	850	0,91	46	7,5	58	19,8	32	6,27	271,6					
Assay27	51,36	700	1,02	45	7,6	60	19,8	31	6,27	271,6					
Assay28	60	895	1,11	46	8	65	18,5	27	6,27	271,6					
Assay29	54,28	960	0,98	46	7	65	18	28	6,27	271,6					
Assay30	51,42	830	1,09	46	7,8	70	21,1	27	6,27	271,6					
Assay31	63,23	785	1,23	49	7,5	52	19,5	29	6,27	271,6					
Assay32	61,88	790	1,19	49	7,8	50	19,2	29	6,27	271,6					
Assay33	56,38	805	0,86	50	6,5	42	15,2	29	6,27	271,6					
Assay34	57,84	605	0,89	46	7,3	41	15,3	27	6,27	271,6					
Assay35	60,06	760	1,02	46	8,1	55	16,9	27	6,27	271,6					
Assay36	58,03	745	0,71	46	6,2	48	12,2	27	6,27	271,6					
Assay37	50,87	530	0,82	46	6,1	40	16,1	31	6,27	271,6					
Assay38	52,54	650	0,75	46	6,4	49	14,2	31	6,27	271,6					
Assay39	51,03	470	0,69	46	5,5	54	13,6	31	6,27	271,6					
Assay40	54,52	645	0,74	45	4,5	39	13,5	29	6,27	271,6					
Assay41	55,26	705	0,82	45	6,9	55	14,78	30	6,27	271,6					
Assay42	56,39	590	0,61	45	4,9	32	10,8	29	6,27	271,6					
Assay43	59,38	835	1,15	49	8	65	19,4	27	6,27	271,6					
Assay44	55,67	660	0,91	49	7,1	53	16,4	27	6,27	271,6					
Assay45	59,38	615	1,06	49	7,9	50	17,8	27	6,27	271,6					
Assay46	57,04	730	1,18	46	7,8	53	20,6	29	6,27	271,6					
Assay47	51,53	895	0,91	46	7,8	64	17,6	29	6,27	271,6					
Assay48	52,81	630	1,05	47	7,2	60	19,9	29	6,27	271,6					
Assay49	50,95	880	0,86	48	7,5	62	16,8	29	6,27	271,6					
Assay50	54,8	990	1,22	48	9,8	75	22,3	29	6,27	271,6					
Assay51	56,74	1015	1,24	49	8,3	74	21,8	30	6,27	271,6					
Assay52	54,45	905	1,14	48	8,3	60	20,9	29	6,27	271,6					
Assay53	51,06	865	0,87	48	7,3	55	17	29	6,27	271,6					
Assay54	57,17	730	1,07	49	7,5	50	18,7	29	6,27	271,6					
Assay55	59,1	805	1,25	49	8,5	52	21,1	27	6,27	271,6					
Assay56	51,36	930	0,83	49	6,5	56	16,2	27	6,27	271,6					
Assay57	55,77	775	1,09	50	8,2	52	19,6	27	6,27	271,6					
Assay58	56,44	770	1,08	46	7	45	19,1	29	6,27	271,6					
Assay59	50,72	910	0,99	46	7,6	55	19,5	29	6,27	271,6					
Assay60	51,47	720	0,8	45	6,4	45	15,6	29	6,27	271,6					
Assay61	55,81	875	0,76	44	7	63	13,6	27	6,27	271,6					
Assay62	58,48	760	0,97	44	7,9	50	16,5	27	6,27	271,6					
Assay63	53,92	675	0,7	43	5,9	56	13	27	6,27	271,6					
Assay64	64,75	800	1,17	44	8,1	52	18,1	27	6,27	271,6					
Assay65	66,97	645	1,02	45	7,5	51	15,2	27	6,27	271,6					
Assay66	62,45	630	1,02	44	7,3	52	16,3	27	6,27	271,6					
Assay67	59,82	725	0,98	49	6,7	50	16,4	29	6,27	271,6					
Assay68	60,63	540	1,06	49	7,8	48	17,4	29	6,27	271,6					
Assay69	53,31	605	0,81	49	6,2	62	15,1	29	6,27	271,6					
Assay70	57,81	908	1,06	46	7,9	70	18,3	27	6,27	271,6					
Assay71	59,64	602	1,01	46	8	47	16,9	27	6,27	271,6					
Assay72	55,37	750	0,9	45	7,3	50	16,2	27	6,27	271,6					
Assay73	52,6	800	0,89	46	8	60	16,9	29	6,27	271,6					
Assay74	58,44	520	0,98	46	7,2	43	16,7	29	6,27	271,6					
Assay75	54,23	670	0,99	46	7,7	58	18,2	28	6,27	271,6					
Assay76	56,4	940	0,97	47	7,6	62	17,2	29	6,27	271,6					
Assay77	57,06	600	1,03	48	7	58	18	29	6,27	271,6					
Assay78	55,08	740	1,04	48	8,2	65	18,9	30	6,27	271,6					
Assay79	59,73	420	0,9	48	6,6	43	15	31	6,27	271,6					
Assay80	56,36	600	0,85	49	7,2	53	15,1	31	6,27	271,6					
Assay81	54,08	480	0,85	48	7	45	15,7	32	6,27	271,6					
Assay82	51,54	455	0,6	46	5,1	38	11,7	31	6,27	271,6					
Assay83	45,48	525	0,57	46	6,6	43	12,6	31	6,27	271,6					
Assay84	51,84	590	0,59	46	5,4	47	11,4	29	6,27	271,6					
Assay85	53,81	675	0,95	44	6,9	60	17,6	27	6,27	271,6					
Assay86	58,1	545	0,98	44	7,2	54	16,8	27	6,27	271,6					
Assay87	55,7	770	1,15	44	8,5	48	20,7	27	6,27	271,6					
Assay88	50,23	385	0,66	45	5	37	13,1	29	6,27	271,6					
Assay89	49,46	530	0,55	45	5,3	38	11,2	29	6,27	271,6					
Assay90	54,63	490	0,81	46	6,3	40	14,9	29	6,27	271,6					
Assay91	59,61	720	0,92	48	6,9	50	15,5	29	6,27	271,6					
Assay92	52,03	805	0,67	48	6,1	59	12,8	29	6,27	271,6					
Assay93	53,4	590	0,53	48	5	32	10	29	6,27	271,6					
Assay94	60,1	855	1,2	46	8,7	70	19,9	27	6,27	271,6					
Assay95	61,9	650	1,24	46	8,5	52	20	26	6,27	271,6					
Assay96	57,75	670	1,08	45	7,4	64	18,7	27	6,27	271,6					
Assay97	56,52	605	0,78	45	6,8	50	13,8	29	6,27	271,6					
Assay98	53,6	660	0,95	45	8	60	17,8	29	6,27	271,6					
Assay99	55,99	690	0,8	45	6,6	44	14,2	29	6,27	271,6					
Assay100	56,85	715	0,85	48	6,7	50	14,9	29	6,27	271,6					
Assay101	57,68	735	0,82	48	6,7	55	14,2	29	6,27	271,6					
Assay102	56,62	660	0,75	48	6,1	38	13,3	29	6,27	271,6					
Assay103	54,91	680	0,88	45	7,3	45	16,1	29	6,27	271,6					
Assay104	51,63	860	0,86	45	7,3	47	16,6	29	6,27	271,6					
Assay105	52,41	800	0,87	45	8	55	16,6	29	6,27	271,6					
Assay106	56,29	755	0,7	48	6,9	60	12,4	29	6,27	271,6					
Assay107	57,57	660	0,62	48	5,8	39	10,7	29	6,27	271,6					
Assay108	57,52	720	0,81	49	6,4	50	14,1	30	6,27	271,6					
Assay109	58,79	770	0,92	45	7,5	58	15,7	31	6,27	271,6					
Assay110	57,95	690	0,93	45	8,1	51	16,1	29	6,27	271,6					
Assay111	56,72	720	1	45	7	37	17,7	31	6,27	271,6					
Assay112	55,38	780	0,88	46	7	60	15,8	27	6,27	271,6					
Assay113	57,37	750	1,03	46	7,2	57	17,9	27	6,27	271,6					
Assay114	54,61	685	1,04	45	7	62	19,1	28	6,27	271,6					
Assay115	58,08	750	0,73	44	6,3	53	12,5	29	6,27	271,6					
Assay116	54,31	540	0,59	44	5,2	45	10,9	29	6,27	271,6					
Assay117	56,6	580	0,8	44	5,5	42	14,1	29	6,27	271,6					
Assay118	60,34	860	1,07	48	7,1	57	17,8	27	6,27	271,6					
Assay119	51,27	840	0,69	48	7	50	13,4	27	6,27	271,6					
Assay120	54,69	860	0,88	48	6,4	50	16	27	6,27	271,6					
Assay121	57,9	755	0,94	48	6,7	42	16,2	27	6,27	271,6					
Assay122	51,62	940	0,73	48	7,2	50	14,2	27	6,27	271,6					
Assay123	60,81	865	1,05	48	7,5	61	17,3	27	6,27	271,6					
Assay124	54,69	680	1,06	45	7,1	48	19,4	29	6,27	271,6					
Assay125	50,86	870	1,12	45	8,6	45	22	29	6,27	271,6					
Assay126	51,55	630	1,03	45	7,3	50	20	27	6,27	271,6					
Assay127	59,44	1020	1,17	46	8,1	70	19,7	27	6,27	271,6					
Assay128	57,57	980	1,02	46	8,1	70	17,7	27	6,27	271,6					
Assay129	60,51	860	1,18	46	8,6	60	19,5	28	6,27	271,6					
Assay130	55,56	640	0,9	45	7	62	16,2	29	6,27	271,6					
Assay131	55,27	640	0,91	45	7,2	48	16,5	29	6,27	271,6					
Assay132	56,39	480	1,02	45	7,7	56	18	29	6,27	271,6					
Assay133	55,06	525	0,94	45	7,8	44	17	27	6,27	271,6					
Assay134	57,84	680	1,1	45	7,9	50	19	27	6,27	271,6					
Assay135	55,2	525	0,96	45	7,2	47	17,3	27	6,27	271,6					
Assay136	57,5	630	1,01	45	7,2	50	17,6	29	6,27	271,6					
Assay137	54,27	905	0,97	45	7,3	52	17,8	29	6,27	271,6					
Assay138	54,78	730	1,1	45	7,6	50	20,1	29	6,27	271,6					
Assay139	62,72	615	1,22	44	8,4	58	19,5	29	6,27	271,6					
Assay140	62,17	560	1,09	44	7,9	50	17,5	29	6,27	271,6					
Assay141	59,84	875	1,14	44	7,7	67	19	29	6,27	271,6					
Assay142	56,52	680	0,75	44	7	50	13,2	27	6,27	271,6					
Assay143	54,14	545	0,69	44	6,2	45	12,8	27	6,27	271,6					
Assay144	56,38	750	0,92	44	6,7	52	16,3	27	6,27	271,6					
Assay145	56,89	710	1,02	46	7,6	50	18	29	6,27	271,6					
Assay146	58,03	645	1	46	7,4	46	17,3	29	6,27	271,6					
Assay147	52,69	850	0,9	46	7,9	50	17,1	28	6,27	271,6					
Assay148	52,73	640	0,97	44	7,9	64	18,3	27	6,27	271,6					
Assay149	53,85	810	0,94	44	7,3	56	17,4	27	6,27	271,6					
Assay150	55,56	700	0,99	44	7,6	55	17,8	27	6,27	271,6					
Assay151	55,3	650	1,11	46	7	55	20	27	6,27	271,6					
Assay152	52,15	890	1,34	46	9	65	25,6	26	6,27	271,6					
Assay153	50,13	775	1,16	45	7,6	57	23,1	27	6,27	271,6					
Assay154	51,36	765	0,9	48	6,1	43	17,6	31	6,27	271,6					
Assay155	47,9	840	0,96	48	7,1	55	20	31	6,27	271,6					
Assay156	48,88	815	0,92	48	7,4	50	18,8	30	6,27	271,6					
Assay157	54,75	655	0,67	45	6	46	12,2	31	6,27	271,6					
Assay158	55,39	610	0,64	45	5,7	46	11,5	31	6,27	271,6					
Assay159	55	710	0,76	48	6	53	13,8	31	6,27	271,6					
Assay160	55,29	745	1,03	48	7	60	18,7	29	6,27	271,6					
Assay161	58,74	835	1,4	48	8,8	69	23,9	29	6,27	271,6					
Assay162	65,39	790	0,92	45	6,8	60	14,1	27	6,27	271,6					
Assay163	64,26	705	0,87	45	6,4	52	13,6	27	6,27	271,6					
Assay164	60,96	690	0,82	45	6,3	48	13,5	27	6,27	271,6					
Assay165	53,67	800	1,13	48	7,9	52	21	27	6,27	271,6					
Assay166	30,78	595	0,55	48	6,8	50	17,9	27	6,27	271,6					
Assay167	51,41	710	1,06	48	6,8	56	20,6	27	6,27	271,6					
Assay168	54,88	825	0,9	48	7,3	51	16,4	29	6,27	271,6					
Assay169	53,59	785	0,9	48	6,5	50	16,7	29	6,27	271,6					
Assay170	53,33	770	0,88	48	6,7	50	16,5	29	6,27	271,6					
Assay171	52,77	710	0,84	45	7,2	66	15,9	31	6,27	271,6					
Assay172	58,38	545	1,15	45	7,7	57	19,7	31	6,27	271,6					
Assay173	56,04	590	0,89	45	7	40	15,9	31	6,27	271,6					
Assay174	57,3	750	1,12	48	8,5	52	19,6	31	6,27	271,6					
Assay175	50,78	850	1,04	48	8,5	52	20,4	31	6,27	271,6					
Assay176	49,67	860	0,91	48	7,3	50	18,3	30	6,27	271,6					
Assay177	52,82	785	0,86	48	7,7	60	16,3	27	6,27	271,6					
Assay178	50,48	680	0,95	48	7,4	52	18,9	27	6,27	271,6					
Assay179	55,33	620	1,1	48	8,2	52	19,9	27	6,27	271,6					
Assay180	62,28	545	0,79	46	6,1	53	12,7	31	6,27	271,6					
Assay181	53,2	705	0,67	46	6,3	60	12,5	31	6,27	271,6					
Assay182	49,36	645	0,54	46	4,6	53	10,9	31	6,27	271,6					
Assay183	51,01	705	0,96	46	7,3	48	18,8	29	6,27	271,6					
Assay184	48,32	875	0,87	46	7,2	55	17,9	29	6,27	271,6					
Assay185	50,94	740	0,98	46	7,1	55	19,2	29	6,27	271,6					
Assay186	52,59	620	1,02	46	7,7	60	19,3	29	6,27	271,6					
Assay187	52,83	510	1,01	46	7,4	48	19,1	29	6,27	271,6					
Assay188	50,92	480	0,94	46	7	52	18,4	29	6,27	271,6					
Assay189	57,38	610	1,1	45	7,4	53	19,1	29	6,27	271,6					
Assay190	53,56	725	0,95	45	7,2	60	17,7	29	6,27	271,6					
Assay191	51,39	700	1,04	45	7,9	65	20,2	28	6,27	271,6					
Assay192	61,63	830	0,76	46	5,2	60	12,3	27	6,27	271,6					
Assay193	55,81	805	0,69	46	5	54	12,4	27	6,27	271,6					
Assay194	60,45	650	0,81	46	5,8	48	13,4	26	6,27	271,6					
Assay195	53,8	875	0,89	44	7,5	60	16,6	27	6,27	271,6					
Assay196	54,07	830	0,81	44	7	55	15	27	6,27	271,6					
Assay197	54,17	600	0,82	44	6	57	15,1	27	6,27	271,6					
Assay198	51,69	345	0,64	44	5,8	42	12,4	27	6,27	271,6					
