Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation
Assay1	54,69	630	1,15	51	7,4	60	21,1	28	6,16	273,1
Assay2	54,66	740	1,2	51	8,7	64	21,9	25	6,16	273,1
Assay3	52,51	620	1,07	51	8,1	50	20,3	25	6,16	273,1
Assay4	49,2	530	0,99	51	7,6	60	20,1	25	6,16	273,1
Assay5	51,76	490	0,82	51	6,2	51	15,9	25	6,16	273,1
Assay6	50,13	580	0,78	49	5,9	55	15,6	22	6,16	273,1
Assay7	53,71	670	1,06	49	7,7	74	19,7	22	6,16	273,1
Assay8	51,59	640	1,17	49	8,6	65	22,7	22	6,16	273,1
Assay9	55,93	510	1,11	51	8,1	68	19,9	25	6,16	273,1
Assay10	51,9	550	1,15	53	9,3	62	22,1	25	6,16	273,1
Assay11	54,24	470	1,11	53	8,7	70	20,5	25	6,16	273,1
Assay12	51,36	500	1,02	53	8,4	60	19,9	25	6,16	273,1
Assay13	52,76	510	1,11	53	8,1	53	21	28	6,16	273,1
Assay14	50,34	590	0,88	51	6,5	49	17,4	25	6,16	273,1
Assay15	50,29	480	0,86	51	6,5	46	17	25	6,16	273,1
Assay16	54,44	480	0,88	51	7,6	56	16,2	25	6,16	273,1
Assay17	53,77	530	0,81	49	6,1	67	15,1	22	6,16	273,1
Assay18	51,95	430	0,8	51	6,3	48	15,4	25	6,16	273,1
Assay19	44,13	520	0,87	53	7	55	19,6	25	6,16	273,1
Assay20	44,42	682	0,96	51	7,8	66	21,5	25	6,16	273,1
Assay21	43,81	650	0,92	53	7,8	60	21	25	6,16	273,1
Assay22	45,77	440	1,02	49	7	63	22,2	22	6,16	273,1
Assay23	46,57	515	0,8	46	6	67	17,2	22	6,16	273,1
Assay24	43,81	418	0,75	46	6,1	52	17,22	22	6,16	273,1
Assay25	51,3	520	1,1	49	7,8	69	21,5	22	6,16	273,1
Assay26	45,11	480	0,82	46	6,2	68	18,2	22	6,16	273,1
Assay27	47,88	500	0,92	49	7	62	19,3	22	6,16	273,1
Assay28	53,3	710	1,05	51	8,1	55	19,7	25	6,16	273,1
Assay29	54,14	790	1,03	49	7,1	66	19,1	22	6,16	273,1
Assay30	52,33	740	1,08	49	7,5	60	20,6	22	6,16	273,1
Assay31	55,23	750	1,09	51	7	55	19,7	28	6,16	273,1
Assay32	51,93	590	0,86	51	6	48	16,6	24	6,16	273,1
Assay33	53,56	730	1,04	49	6,8	58	19,4	22	6,16	273,1
Assay34	53,97	520	0,97	51	6,8	49	17,9	25	6,16	273,1
Assay35	54,11	490	0,7	51	6,4	48	12,9	25	6,16	273,1
Assay36	58,72	580	0,83	51	6,7	56	14,1	25	6,16	273,1
Assay37	47,17	510	0,85	49	6,4	57	18	25	6,16	273,1
Assay38	47,85	588	0,89	46	6,6	53	18,6	22	6,16	273,1
Assay39	45,96	590	0,84	46	6,6	55	18,3	22	6,16	273,1
Assay40	51	460	0,77	46	5,5	43	15	20	6,16	273,1
Assay41	51,03	680	0,79	46	5,2	57	15,5	22	6,16	273,1
Assay42	52,79	660	0,64	46	5,1	53	12,2	22	6,16	273,1
Assay43	57,56	670	1,23	51	8,7	75	21,3	25	6,16	273,1
Assay44	54,35	770	1,21	51	8,6	78	22,3	25	6,16	273,1
Assay45	52,99	710	1,17	53	8,6	67	22,1	25	6,16	273,1
Assay46	46,18	530	1,04	53	8,2	50	22,5	25	6,16	273,1
Assay47	46,48	480	0,9	51	7,8	52	19,3	25	6,16	273,1
Assay48	45	450	0,97	51	7,7	55	21,6	25	6,16	273,1
Assay49	49,12	510	0,89	49	7	77	18,2	22	6,16	273,1
Assay50	49,95	620	1,05	51	8,3	70	21	25	6,16	273,1
Assay51	47,71	540	1	51	7,8	70	21	25	6,16	273,1
Assay52	45,32	620	0,98	53	7,7	45	21,6	25	6,16	273,1
Assay53	48,15	590	1,17	51	9	69	24,3	25	6,16	273,1
Assay54	47,09	560	1,05	53	8,5	50	22,3	25	6,16	273,1
Assay55	48,12	460	0,95	53	7,5	55	19,7	25	6,16	273,1
Assay56	49,91	550	1,07	51	8,4	63	21,5	25	6,16	273,1
Assay57	47,93	520	0,83	53	6,9	60	17,4	25	6,16	273,1
Assay58	43,07	450	0,83	49	6,8	54	19,2	22	6,16	273,1
