Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Plot size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sowing density]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Characteristics[Experimental unit type]	Characteristics[Replication]
Source2	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH001			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample1	plot	1
Source2	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH001			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample2	plot	2
Source2	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH001			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample3	plot	3
Source3	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH002			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample4	plot	1
Source3	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH002			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample5	plot	2
Source3	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH002			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample6	plot	3
Source4	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH003			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample7	plot	1
Source4	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH003			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample8	plot	2
Source4	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH003			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample9	plot	3
Source5	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH004			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample10	plot	1
Source5	Hordeum vulgare	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_112509	GeH004			IPG PAS			Growth	2012		field	Cerekwica	GAZ	http://purl.obolibrary.org/obo/GAZ_000012675	Rooting	luvisol	ENVO	http://purl.obolibrary.org/obo/ENVO_00002248	1	m2	UO	http://purl.obolibrary.org/obo/UO_0000080	300		Aerial conditions				14.5		Nutrition				Watering	no irrigation			Sampling	Sample11	plot	2
