Assay Name	var1	var2	var3
assay1	0.00	0.00	0.00
assay2			
assay3			
assay4			
assay5			
assay6			
assay7			
assay8			
assay9			
assay10			
assay11			
assay12			
assay13			
assay14			
assay15			
assay16			
assay17			
assay18			
assay19			
assay20			
assay21			
assay22			
assay23			
assay24			
assay25			
assay26			
assay27			
assay28			
assay29			
assay30			
assay31			
assay32			
assay33			
assay34			
assay35			
assay36			
assay37			
assay38			
assay39			
assay40			
assay41			
assay42			
assay43			
assay44			
assay45			
assay46			
assay47			
assay48			
assay49			
assay50			
assay51			
assay52			
assay53			
assay54			
assay55			
assay56			
assay57			
assay58			
assay59			
assay60			
assay61			
assay62			
assay63			
assay64			
assay65			
assay66			
assay67			
assay68			
assay69			
assay70			
assay71			
assay72			
assay73			
assay74			
assay75			
assay76			
assay77			
assay78			
assay79			
assay80			
assay81			
assay82			
assay83			
assay84			
assay85			
assay86			
assay87			
assay88			
assay89			
assay90			
assay91			
assay92			
assay93			
assay94			
assay95			
assay96			
assay97			
assay98			
assay99			
assay100			
assay101			
assay102			
assay103			
assay104			
assay105			
assay106			
assay107			
assay108			
assay109			
assay110			
assay111			
assay112			
assay113			
assay114			
assay115			
assay116			
assay117			
assay118			
assay119			
assay120			
