Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Factor Value[Block]	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Plot size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sowing density]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Characteristics[Experimental unit type]
source1								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample1	plot
source2								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample2	plot
source3								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample3	plot
source4								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample4	plot
source5								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample5	plot
source6								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample6	plot
source7								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample7	plot
source8								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample8	plot
source9								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample9	plot
source10								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample10	plot
source11								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample11	plot
source12								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample12	plot
source13								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample13	plot
source14								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample14	plot
source15								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample15	plot
source16								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample16	plot
source17								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample17	plot
source18								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample18	plot
source19								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample19	plot
source20								Growth			field				1	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample20	plot
source1								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample21	plot
source2								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample22	plot
source3								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample23	plot
source4								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample24	plot
source5								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample25	plot
source6								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample26	plot
source7								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample27	plot
source8								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample28	plot
source9								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample29	plot
source10								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample30	plot
source11								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample31	plot
source12								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample32	plot
source13								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample33	plot
source14								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample34	plot
source15								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample35	plot
source16								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample36	plot
source17								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample37	plot
source18								Growth			field				2	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample38	plot
source19								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample39	plot
source20								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample40	plot
source1								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample41	plot
source2								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample42	plot
source3								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample43	plot
source4								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample44	plot
source5								Growth			field				3	Rooting										Aerial conditions						Nutrition				Watering				Sampling	sample45	plot
