Sample Name	Protocol REF	Paramter Value[Organism part]	Term Source REF	Term Accession Number	Parameter Value[Trait Definition File]	Factor Value[Rep]	Assay Name	Raw Data File	Protocol REF	Derived Data File
sample1	Phenotyping				tdf.txt	1	assay1	NA	Data transformation	d_results.txt
sample2	Phenotyping				tdf.txt	1	assay2	NA	Data transformation	d_results.txt
sample3	Phenotyping				tdf.txt	1	assay3	NA	Data transformation	d_results.txt
sample4	Phenotyping				tdf.txt	1	assay4	NA	Data transformation	d_results.txt
sample5	Phenotyping				tdf.txt	1	assay5	NA	Data transformation	d_results.txt
sample6	Phenotyping				tdf.txt	1	assay6	NA	Data transformation	d_results.txt
sample7	Phenotyping				tdf.txt	1	assay7	NA	Data transformation	d_results.txt
sample8	Phenotyping				tdf.txt	1	assay8	NA	Data transformation	d_results.txt
sample9	Phenotyping				tdf.txt	1	assay9	NA	Data transformation	d_results.txt
sample10	Phenotyping				tdf.txt	1	assay10	NA	Data transformation	d_results.txt
sample11	Phenotyping				tdf.txt	1	assay11	NA	Data transformation	d_results.txt
sample12	Phenotyping				tdf.txt	1	assay12	NA	Data transformation	d_results.txt
sample13	Phenotyping				tdf.txt	1	assay13	NA	Data transformation	d_results.txt
sample14	Phenotyping				tdf.txt	1	assay14	NA	Data transformation	d_results.txt
sample15	Phenotyping				tdf.txt	1	assay15	NA	Data transformation	d_results.txt
sample16	Phenotyping				tdf.txt	1	assay16	NA	Data transformation	d_results.txt
sample17	Phenotyping				tdf.txt	1	assay17	NA	Data transformation	d_results.txt
sample18	Phenotyping				tdf.txt	1	assay18	NA	Data transformation	d_results.txt
sample19	Phenotyping				tdf.txt	1	assay19	NA	Data transformation	d_results.txt
sample20	Phenotyping				tdf.txt	1	assay20	NA	Data transformation	d_results.txt
sample21	Phenotyping				tdf.txt	1	assay21	NA	Data transformation	d_results.txt
sample22	Phenotyping				tdf.txt	1	assay22	NA	Data transformation	d_results.txt
sample23	Phenotyping				tdf.txt	1	assay23	NA	Data transformation	d_results.txt
sample24	Phenotyping				tdf.txt	1	assay24	NA	Data transformation	d_results.txt
sample25	Phenotyping				tdf.txt	1	assay25	NA	Data transformation	d_results.txt
sample26	Phenotyping				tdf.txt	1	assay26	NA	Data transformation	d_results.txt
sample27	Phenotyping				tdf.txt	1	assay27	NA	Data transformation	d_results.txt
sample28	Phenotyping				tdf.txt	1	assay28	NA	Data transformation	d_results.txt
sample29	Phenotyping				tdf.txt	1	assay29	NA	Data transformation	d_results.txt
sample30	Phenotyping				tdf.txt	1	assay30	NA	Data transformation	d_results.txt
sample31	Phenotyping				tdf.txt	1	assay31	NA	Data transformation	d_results.txt
sample32	Phenotyping				tdf.txt	1	assay32	NA	Data transformation	d_results.txt
sample33	Phenotyping				tdf.txt	1	assay33	NA	Data transformation	d_results.txt
sample34	Phenotyping				tdf.txt	1	assay34	NA	Data transformation	d_results.txt
sample35	Phenotyping				tdf.txt	1	assay35	NA	Data transformation	d_results.txt
sample36	Phenotyping				tdf.txt	1	assay36	NA	Data transformation	d_results.txt
sample37	Phenotyping				tdf.txt	1	assay37	NA	Data transformation	d_results.txt
sample38	Phenotyping				tdf.txt	1	assay38	NA	Data transformation	d_results.txt
sample39	Phenotyping				tdf.txt	1	assay39	NA	Data transformation	d_results.txt
sample40	Phenotyping				tdf.txt	1	assay40	NA	Data transformation	d_results.txt
sample41	Phenotyping				tdf.txt	1	assay41	NA	Data transformation	d_results.txt
sample42	Phenotyping				tdf.txt	1	assay42	NA	Data transformation	d_results.txt
sample43	Phenotyping				tdf.txt	1	assay43	NA	Data transformation	d_results.txt
sample44	Phenotyping				tdf.txt	1	assay44	NA	Data transformation	d_results.txt
sample45	Phenotyping				tdf.txt	1	assay45	NA	Data transformation	d_results.txt
sample46	Phenotyping				tdf.txt	1	assay46	NA	Data transformation	d_results.txt
sample47	Phenotyping				tdf.txt	1	assay47	NA	Data transformation	d_results.txt
sample48	Phenotyping				tdf.txt	1	assay48	NA	Data transformation	d_results.txt
sample49	Phenotyping				tdf.txt	1	assay49	NA	Data transformation	d_results.txt
sample50	Phenotyping				tdf.txt	1	assay50	NA	Data transformation	d_results.txt
sample51	Phenotyping				tdf.txt	1	assay51	NA	Data transformation	d_results.txt
sample52	Phenotyping				tdf.txt	1	assay52	NA	Data transformation	d_results.txt
sample53	Phenotyping				tdf.txt	1	assay53	NA	Data transformation	d_results.txt
sample54	Phenotyping				tdf.txt	1	assay54	NA	Data transformation	d_results.txt
sample55	Phenotyping				tdf.txt	1	assay55	NA	Data transformation	d_results.txt
sample56	Phenotyping				tdf.txt	1	assay56	NA	Data transformation	d_results.txt
sample57	Phenotyping				tdf.txt	1	assay57	NA	Data transformation	d_results.txt
sample58	Phenotyping				tdf.txt	1	assay58	NA	Data transformation	d_results.txt
sample59	Phenotyping				tdf.txt	1	assay59	NA	Data transformation	d_results.txt
sample60	Phenotyping				tdf.txt	1	assay60	NA	Data transformation	d_results.txt
sample1	Phenotyping				tdf.txt	2	assay61	NA	Data transformation	d_results.txt
sample2	Phenotyping				tdf.txt	2	assay62	NA	Data transformation	d_results.txt
sample3	Phenotyping				tdf.txt	2	assay63	NA	Data transformation	d_results.txt
sample4	Phenotyping				tdf.txt	2	assay64	NA	Data transformation	d_results.txt
sample5	Phenotyping				tdf.txt	2	assay65	NA	Data transformation	d_results.txt
sample6	Phenotyping				tdf.txt	2	assay66	NA	Data transformation	d_results.txt
sample7	Phenotyping				tdf.txt	2	assay67	NA	Data transformation	d_results.txt
sample8	Phenotyping				tdf.txt	2	assay68	NA	Data transformation	d_results.txt
sample9	Phenotyping				tdf.txt	2	assay69	NA	Data transformation	d_results.txt
sample10	Phenotyping				tdf.txt	2	assay70	NA	Data transformation	d_results.txt
sample11	Phenotyping				tdf.txt	2	assay71	NA	Data transformation	d_results.txt
sample12	Phenotyping				tdf.txt	2	assay72	NA	Data transformation	d_results.txt
sample13	Phenotyping				tdf.txt	2	assay73	NA	Data transformation	d_results.txt
sample14	Phenotyping				tdf.txt	2	assay74	NA	Data transformation	d_results.txt
sample15	Phenotyping				tdf.txt	2	assay75	NA	Data transformation	d_results.txt
sample16	Phenotyping				tdf.txt	2	assay76	NA	Data transformation	d_results.txt
sample17	Phenotyping				tdf.txt	2	assay77	NA	Data transformation	d_results.txt
sample18	Phenotyping				tdf.txt	2	assay78	NA	Data transformation	d_results.txt
