Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Factor Value[Block]	Protocol REF	Parameter Value[Rooting medium]	Term Source REF	Term Accession Number	Parameter Value[Container type]	Parameter Value[Container volume]	Parameter Value[Container dimension]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number of plants per container]	Parameter Value[pH]	Protocol REF	Parameter Value[Air humidity]	Parameter Value[Daily photon flux]	Parameter Value[Length of light period]	Parameter Value[Day temperature]	Parameter Value[Night temperature]	Protocol REF	Parameter Value[N before fertilisation]	Parameter Value[Type of fertiliser]	Parameter Value[Amount of fertiliser]	Protocol REF	Parameter Value[Irrigation type]	Parameter Value[Volume]	Parameter Value[Frequency]	Protocol REF	Sample Name	Parameter Value[Experimental unit type]
source1								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample1	pot
source2								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample2	pot
source3								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample3	pot
source4								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample4	pot
source5								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample5	pot
source6								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample6	pot
source7								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample7	pot
source8								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample8	pot
source9								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample9	pot
source10								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample10	pot
source11								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample11	pot
source12								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample12	pot
source13								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample13	pot
source14								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample14	pot
source15								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample15	pot
source16								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample16	pot
source17								Growth			greenhouse				1	Rooting												Aerial conditions						Nutrition				Watering				Sampling	sample17	pot
